# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
1015.1239023; 29.7981370; 39.8263374; -2.0604036; 0.0314094; 17.6372404; -1.7958545
1015.6237171; 30.2411329; 39.5947296; -2.0446492; 0.0315846; 17.5862747; -1.6153203
1016.1235320; 30.6877333; 39.3701430; -2.0288367; 0.0316362; 17.5403060; -1.4424929
1016.6233468; 31.1378165; 39.1526526; -2.0130365; 0.0315316; 17.4991536; -1.3031297
1017.1231616; 31.5912235; 38.9423032; -1.9973377; 0.0312303; 17.4618937; -1.2327368
1017.6229764; 32.0477489; 38.7391014; -1.9818523; 0.0306909; 17.4265731; -1.2300202
1018.1227913; 32.5071327; 38.5430056; -1.9667104; 0.0298868; 17.3912589; -1.2453264
1018.6226061; 32.9690575; 38.3539169; -1.9520550; 0.0287854; 17.3554320; -1.2633367
1019.1224209; 33.4349224; 38.1709870; -1.9379969; 0.0273341; 17.3190113; -1.2798120
1019.6222357; 33.9030525; 37.9945103; -1.9247630; 0.0255139; 17.2820373; -1.2569188
1020.1220505; 34.3727442; 37.8242456; -1.9125500; 0.0233319; 17.2456476; -1.0537653
1020.6218654; 34.8436451; 37.6597152; -1.9015183; 0.0208399; 17.2150802; -0.5716588
1021.1216802; 35.3179847; 37.4995092; -1.8917259; 0.0182815; 17.1984749; -0.1123709
1021.6214950; 35.7926100; 37.3440288; -1.8831859; 0.0160689; 17.1952089; 0.2589028
1022.1213098; 36.2686330; 37.1923361; -1.8754760; 0.0151141; 17.2027328; 0.3610904
1022.6211246; 36.7459150; 37.0442420; -1.8677976; 0.0157850; 17.2132209; 0.3582530
1023.1209395; 37.2238822; 36.9001563; -1.8589804; 0.0201431; 17.2236202; 0.3488242
1023.6207543; 37.7030843; 36.7608956; -1.8480356; 0.0227768; 17.2337398; 0.3348287
1024.1205691; 38.1855562; 36.6266024; -1.8364219; 0.0236859; 17.2434478; 0.3172840
1024.6203839; 38.6674125; 36.4986561; -1.8240769; 0.0258314; 17.2526421; 0.3017897
1025.1201988; 39.1520832; 36.3766295; -1.8106191; 0.0280858; 17.2613828; 0.2852822
1025.6200136; 39.6392231; 36.2612258; -1.7960221; 0.0301752; 17.2696414; 0.2667303
1026.1198284; 40.1273455; 36.1533316; -1.7805213; 0.0317557; 17.2773593; 0.2480863
1026.6196432; 40.6164314; 36.0533222; -1.7643842; 0.0328219; 17.2845347; 0.2315849
1027.1194580; 41.1074536; 35.9612672; -1.7478008; 0.0334968; 17.2912301; 0.2173826
1027.6192729; 41.6001454; 35.8774054; -1.7309516; 0.0338635; 17.2975126; 0.2075848
1028.1190877; 42.0942771; 35.8018786; -1.7139777; 0.0339888; 17.3035097; 0.2051898
1028.6189025; 42.5896516; 35.7347531; -1.6969893; 0.0339233; 17.3094356; 0.2142777
1029.1187173; 43.0860960; 35.6760375; -1.6800731; 0.0337038; 17.3156219; 0.2400245
1029.6185321; 43.5834540; 35.6256956; -1.6632996; 0.0333562; 17.3225488; 0.2883129
1030.1183470; 44.0815798; 35.5836549; -1.6467283; 0.0328962; 17.3308656; 0.3647321
1030.6181618; 44.5803333; 35.5498122; -1.6304127; 0.0323317; 17.3413811; 0.4730004
1031.1179766; 45.0795785; 35.5240359; -1.6144046; 0.0316648; 17.3550086; 0.6132493
1031.6177914; 45.5791824; 35.5061664; -1.5987555; 0.0308958; 17.3726609; 0.7808535
1032.1176063; 46.0790157; 35.4960161; -1.5835168; 0.0300286; 17.3951117; 0.9663586
1032.6174211; 46.5789541; 35.4933707; -1.5687362; 0.0290768; 17.4228560; 1.1566772
1033.1172359; 47.0788798; 35.4979922; -1.5544507; 0.0280671; 17.4560064; 1.3373030
1033.6170507; 47.5786830; 35.5096266; -1.5406792; 0.0270390; 17.4942553; 1.4950098
1034.1168655; 48.0782615; 35.5280142; -1.5274175; 0.0260385; 17.5369160; 1.6286071
1034.6166804; 48.5773823; 35.5528936; -1.5146425; 0.0251076; 17.5832713; 1.7084183
1035.1164952; 49.0762089; 35.5840394; -1.5023045; 0.0242812; 17.6317672; 1.7530721
1035.6163100; 49.5746677; 35.6212427; -1.4903507; 0.0235667; 17.6813924; 1.7677004
1036.1161248; 50.0726840; 35.6643200; -1.4787265; 0.0229602; 17.7312911; 1.7579484
1036.6159396; 50.5701858; 35.7131134; -1.4673800; 0.0224519; 17.7807756; 1.7294666
1037.1157545; 51.0671043; 35.7674886; -1.4562654; 0.0220296; 17.8293243; 1.6874750
1037.6155693; 51.5633737; 35.8273318; -1.4453431; 0.0216821; 17.8765672; 1.6365522
1038.1153841; 52.0589317; 35.8925468; -1.4345785; 0.0214001; 17.9222655; 1.5805704
1038.6151989; 52.5537199; 35.9630534; -1.4239411; 0.0211755; 17.9662903; 1.5227227
1039.1150138; 53.0476842; 36.0387854; -1.4134061; 0.0209937; 18.0086020; 1.4655613
