# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
136.4128292; 125.3888673; 106.5373379; -0.7709943; -0.0231231; 19.4846411; 1.2004546
137.9118713; 126.4522869; 107.5948115; -0.8052657; -0.0225253; 19.5767797; 1.0940319
139.4109134; 127.5511057; 108.6160086; -0.8385608; -0.0218267; 19.6603739; 1.0155238
140.9099554; 128.6829210; 109.6008315; -0.8707161; -0.0210356; 19.7376526; 0.9688427
142.4089975; 129.8452716; 110.5495110; -0.9016181; -0.0201966; 19.8110979; 0.9621182
143.9080396; 131.0340347; 111.4612927; -0.9311614; -0.0192851; 19.8837650; 1.0109192
145.4070817; 132.2489862; 112.3386400; -0.9593411; -0.0183228; 19.9598330; 0.8742283
146.9061238; 133.4880893; 113.1826480; -0.9860718; -0.0173018; 20.0253825; 0.2197196
148.4051658; 134.7489669; 113.9944072; -1.0112230; -0.0161806; 20.0418233; -0.9325724
149.9042079; 136.0292031; 114.7753435; -1.0345870; -0.0149101; 19.9719491; -2.4425459
151.4032500; 137.3263301; 115.5273337; -1.0558794; -0.0134564; 19.7877687; -4.1357050
152.9022921; 138.6378413; 116.2527703; -1.0748204; -0.0118124; 19.4719439; -5.8744250
154.4013342; 139.9625016; 116.9553420; -1.0909310; -0.0096799; 19.0143256; -7.2292131
155.9003762; 141.2975648; 117.6391118; -1.1031873; -0.0065206; 18.4355849; -8.3227120
157.3994183; 142.6392154; 118.3099175; -1.1101221; -0.0025393; 17.7459460; -8.6022603
158.8984604; 143.9832126; 118.9755895; -1.1105743; 0.0020442; 17.0037731; -8.2289078
160.3975025; 145.3248249; 119.6452988; -1.1037719; 0.0070843; 16.2621444; -7.6189706
161.8965446; 146.6588592; 120.3291299; -1.0890877; 0.0125700; 15.5439707; -7.0570117
163.3955866; 147.9794374; 121.0379283; -1.0657818; 0.0186568; 14.8478116; -6.5340672
164.8946287; 149.2794661; 121.7834460; -1.0327051; 0.0256544; 14.1727847; -6.0470759
166.3936708; 150.5498109; 122.5786055; -0.9882943; 0.0338101; 13.5180688; -5.6021800
167.8927129; 151.7783011; 123.4374372; -0.9306835; 0.0432680; 12.8818623; -5.2083350
169.3917550; 152.9486259; 124.3744799; -0.8579039; 0.0539760; 12.2608055; -4.8748056
170.8907970; 154.0393658; 125.4033573; -0.7683092; 0.0654917; 11.6495611; -4.6209868
172.3898391; 155.0238240; 126.5342555; -0.6613768; 0.0766729; 11.0389386; -4.4917967
173.8888812; 155.8716812; 127.7701036; -0.5389348; 0.0856567; 10.4111182; -4.5607766
175.3879233; 156.5537315; 129.1026066; -0.4060109; 0.0908154; 9.7323065; -4.9854540
176.8869654; 157.0461584; 130.5121964; -0.2629878; 0.1030568; 8.9314600; -1.1824363
178.3860074; 157.3298640; 131.9880016; -0.1214564; 0.0868034; 8.7307465; -1.1755309
179.8850495; 157.4174795; 133.4808416; 0.0026156; 0.0802644; 8.5265230; -1.1722680
181.3840916; 157.3242271; 134.9735024; 0.1223940; 0.0807685; 8.3178745; -0.6228693
182.8831337; 157.0514758; 136.4448934; 0.2446477; 0.0825598; 8.2048536; -0.2337925
