# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
231.5782200; 123.0236806; 132.2506438; -2.3880388; -0.0043735; 21.7649016; 1.0552663
233.5745840; 124.3804422; 130.7872397; -2.4014953; -0.0090419; 21.8614806; 0.9157564
235.5709479; 125.7111715; 129.2990467; -2.4240220; -0.0137797; 21.9449470; 0.7826814
237.5673119; 127.0016688; 127.7729058; -2.4571036; -0.0191869; 22.0160336; 0.6387055
239.5636759; 128.2303985; 126.2042389; -2.4979399; -0.0217117; 22.0738740; 0.5562082
241.5600398; 129.3968413; 124.5786840; -2.5375995; -0.0143100; 22.1241203; 0.4083462
243.5564038; 130.5169034; 122.9197897; -2.5538253; -0.0025253; 22.1609367; 0.1614877
245.5527678; 131.6225980; 121.2633345; -2.5487573; 0.0078459; 22.1754795; -0.2261791
247.5491317; 132.7632676; 119.6121352; -2.5212889; 0.0200732; 22.1551082; -0.3779570
249.5454957; 133.9704862; 118.0080956; -2.4668810; 0.0344477; 22.1210248; -0.4490399
251.5418597; 135.2808138; 116.5005887; -2.3782460; 0.0553237; 22.0804630; -0.4676431
253.5382236; 136.7365656; 115.1589344; -2.2458683; 0.0745021; 22.0381414; -0.4764031
255.5345876; 138.3691210; 114.0388142; -2.1002471; 0.0696033; 21.9949432; -0.4735463
257.5309516; 140.1529479; 113.1469581; -1.9719898; 0.0598091; 21.9519198; -0.4720423
259.5273155; 142.0348687; 112.4745912; -1.8574492; 0.0548638; 21.9089490; -0.4666317
261.5236795; 143.9793509; 112.0125686; -1.7520125; 0.0509160; 21.8663878; -0.4214105
263.5200435; 145.9603090; 111.7518063; -1.6515416; 0.0502161; 21.8278798; -0.2870723
265.5164074; 147.9535127; 111.6913618; -1.5501781; 0.0514957; 21.8016085; -0.1166019
267.5127714; 149.9422122; 111.8332003; -1.4502325; 0.0479243; 21.7909287; 0.0248012
269.5091353; 151.9107564; 112.1646208; -1.3595741; 0.0425337; 21.7932008; 0.0594850
271.5054993; 153.8414871; 112.6610482; -1.2806612; 0.0365928; 21.7986492; 0.0593240
273.5018633; 155.7300265; 113.2965817; -1.2136381; 0.0307684; 21.8040816; 0.0590412
275.4982272; 157.5766961; 114.0470673; -1.1577217; 0.0254275; 21.8094866; 0.0590042
277.4945912; 159.3847722; 114.8913241; -1.1117583; 0.0206919; 21.8148870; 0.0594606
279.4909552; 161.1586133; 115.8109658; -1.0746317; 0.0165101; 21.8203278; 0.0606501
281.4873191; 162.9027791; 116.7897891; -1.0453901; 0.0127939; 21.8258760; 0.0629776
283.4836831; 164.6205806; 117.8125816; -1.0232496; 0.0094324; 21.8316357; 0.0694570
285.4800471; 166.3143461; 118.8647686; -1.0076616; 0.0062505; 21.8379862; 0.0792515
287.4764110; 167.9971468; 119.9395712; -0.9981148; 0.0033516; 21.8452299; 0.0945761
289.4727750; 169.6741316; 121.0265520; -0.9942937; 0.0003076; 21.8538712; 0.1126958
291.4691390; 171.3497283; 122.1139795; -0.9971182; -0.0028928; 21.8641636; 0.1204464
293.4655029; 173.0305803; 123.1931089; -1.0030482; -0.0030556; 21.8751585; -0.1287851
295.4618669; 174.7183576; 124.2625599; -1.0087267; -0.0024470; 21.8634022; -0.4880995
297.4582309; 176.4093317; 125.3224730; -1.0128596; -0.0018105; 21.8187879; -0.9513930
299.4545948; 178.1035803; 126.3758949; -1.0160565; -0.0013920; 21.7315635; -1.5375941
301.4509588; 179.8009815; 127.4247560; -1.0184064; -0.0009604; 21.5898508; -2.3320054
303.4473228; 181.5021358; 128.4713379; -1.0200175; -0.0006563; 21.3731279; -2.8945565
305.4436867; 183.2039057; 129.5151921; -1.0210903; -0.0004459; 21.1010289; -3.3498478
307.4400507; 184.9062175; 130.5572842; -1.0218332; -0.0003300; 20.7816840; -3.6496674
309.4364147; 186.6091275; 131.5981858; -1.0224444; -0.0002829; 20.4280753; -3.7373727
311.4327786; 188.3128465; 132.6382595; -1.0229646; -0.0002380; 20.0595101; -3.2888134
313.4291426; 190.0172241; 133.6776896; -1.0233079; -0.0001032; 19.7294858; -2.9210976
315.4255066; 191.7215942; 134.7166544; -1.0233394; 0.0000853; 19.4316613; -2.6016065
317.4218705; 193.4255169; 135.7557773; -1.0228781; 0.0004658; 19.1625143; -2.3302523
319.4182345; 195.1285983; 136.7965817; -1.0214556; 0.0007675; 18.9181894; -2.1037578
321.4145985; 196.8316797; 137.8406298; -1.0203971; 0.0002941; 18.6948699; -1.8838563
323.4109624; 198.5318539; 138.8838793; -1.0207795; -0.0006734; 18.4926048; -1.7604789
325.4073264; 200.2346034; 139.9256335; -1.0229601; -0.0014699; 18.3015661; -1.6615942
327.4036903; 201.9411151; 140.9628246; -1.0266319; -0.0022117; 18.1194102; -1.5826521
329.4000543; 203.6523769; 141.9925798; -1.0317957; -0.0029564; 17.9441892; -1.5162560
331.3964183; 205.3691765; 143.0119165; -1.0384300; -0.0036906; 17.7746991; -1.4642360
333.3927822; 207.0933113; 144.0184957; -1.0465403; -0.0044367; 17.6094757; -1.4299675
335.3891462; 208.8267083; 145.0099892; -1.0561635; -0.0052069; 17.4466089; -1.4003656
337.3855102; 210.5701227; 145.9832844; -1.0673556; -0.0060070; 17.2856265; -1.3744626
339.3818741; 212.3243563; 146.9351980; -1.0801669; -0.0068416; 17.1261504; -1.3484501
341.3782381; 214.0924604; 147.8635467; -1.0947639; -0.0077900; 16.9682360; -1.3255965
343.3746021; 215.8751584; 148.7645113; -1.1111980; -0.0086382; 16.8115522; -1.3029731
345.3709660; 217.6730596; 149.6344532; -1.1294997; -0.0098870; 16.6561061; -1.2804543
347.3673300; 219.4868836; 150.4682330; -1.1507577; -0.0108933; 16.5019201; -1.2584324
349.3636940; 221.3157947; 151.2619717; -1.1716123; -0.0098910; 16.3489690; -1.2332097
351.3600579; 223.1621027; 152.0223120; -1.1872907; -0.0057310; 16.1976824; -1.2039782
353.3564219; 225.0134705; 152.7598073; -1.1949449; -0.0020721; 16.0486061; -1.1740867
355.3527859; 226.8661978; 153.4889748; -1.1955981; 0.0014019; 15.9018851; -1.1450632
357.3491498; 228.7195173; 154.2242049; -1.1896418; 0.0044617; 15.7574752; -1.1181328
359.3455138; 230.5751036; 154.9793119; -1.1782112; 0.0069538; 15.6151729; -1.0877980
361.3418778; 232.4045560; 155.7543486; -1.1608082; 0.0103676; 15.4754755; -1.0692996
363.3382417; 234.2334898; 156.5685705; -1.1474603; -0.0008481; 15.3369137; -0.9923639
365.3346057; 236.0772934; 157.3856320; -1.1651128; -0.0162916; 15.2071918; -0.8342678
367.3309697; 237.9219556; 158.1312169; -1.2143590; -0.0348701; 15.0972738; -0.5384877
369.3273336; 239.8573009; 158.7572884; -1.3114235; -0.0655957; 15.0258990; -0.2241928
371.3236976; 241.8504354; 159.1065544; -1.5042145; -0.1366639; 14.9960829; 0.1870860
373.3200616; 243.7120219; 158.8327788; -2.0069162; -0.3835030; 15.0209682; 0.2459424
375.3164255; 245.1901633; 157.5127511; -2.4859824; -0.1540198; 15.0536197; 0.2498805
377.3127895; 246.0798517; 155.7231746; -2.9219365; -0.3950038; 15.0867217; 0.3241141
379.3091535; 245.8362382; 153.8955836; 2.8114867; -0.0960333; 15.1295496; 0.2782098
381.3055174; 245.0690113; 152.0095032; 2.7380614; 0.0153485; 15.1662153; 0.2633372
383.3018814; 244.3246222; 150.0713005; 2.8275665; 0.0545787; 15.2008395; 0.2634235
385.2982453; 243.8009727; 148.1414234; 2.9208578; 0.0399775; 15.2353963; 0.2702250
387.2946093; 243.4307588; 146.1664368; 2.9857019; 0.0227027; 15.2707640; 0.2755925
389.2909733; 243.1521087; 144.1909607; 3.0105165; 0.0033259; 15.3067501; 0.2842572
391.2873372; 242.8879284; 142.2133000; 3.0017127; -0.0128701; 15.3437792; 0.2923149
393.2837012; 242.5664809; 140.2145500; 2.9554320; -0.0345411; 15.3817650; 0.2984853
395.2800652; 242.1042575; 138.2629068; 2.8490638; -0.0753455; 15.4204561; 0.3799786
397.2764291; 241.3642521; 136.4518849; 2.6325328; -0.1519949; 15.4695707; 0.2824066
399.2727931; 240.1654718; 134.9280370; 2.3255097; -0.1289486; 15.5059727; -0.3996296
401.2691571; 238.5770095; 133.7109323; 2.1485907; -0.0540190; 15.4544355; -1.1183090
403.2655210; 236.8398337; 132.6737166; 2.0821036; -0.0157322; 15.3092937; -1.7751933
405.2618850; 235.0944737; 131.7067618; 2.0811784; 0.0141136; 15.0760277; -1.5023734
407.2582490; 233.3541816; 130.6776858; 2.1375855; 0.0421914; 14.8757535; -1.3353586
409.2546129; 231.7259914; 129.5103007; 2.2620663; 0.0834418; 14.6954523; -1.2156678
411.2509769; 230.3406428; 128.1142007; 2.4720839; 0.1202306; 14.5293664; -1.1173719
413.2473409; 229.2921298; 126.4323872; 2.6856468; 0.0917368; 14.3750174; -1.0182038
415.2437048; 228.5698039; 124.5674863; 2.8539864; 0.0781449; 14.2329096; -0.9687401
417.2400688; 228.1475655; 122.6168463; 3.0005399; 0.0711588; 14.0963754; -0.9728783
419.2364328; 228.0088110; 120.6131029; -3.1376778; 0.0751516; 13.9579139; -1.0098480
421.2327967; 228.1791910; 118.6013802; -2.9704635; 0.0961798; 13.8127229; -0.9764730
423.2291607; 228.7392051; 116.7171326; -2.7074174; 0.1867969; 13.6708640; -0.7048381
425.2255247; 229.9342934; 115.1735796; -2.2536672; 0.2172408; 13.5675457; -0.5686854
427.2218886; 231.6424833; 114.2119340; -1.9462472; 0.1104909; 13.4836082; -0.3593097
429.2182526; 233.5568346; 113.6574836; -1.7728516; 0.0678863; 13.4303039; -0.0053774
431.2146166; 235.5416449; 113.3743915; -1.6587851; 0.0472912; 13.4295046; 0.1572448
433.2109805; 237.5494758; 113.2841412; -1.5764907; 0.0353975; 13.4528595; 0.1387631
435.2073445; 239.5612912; 113.3383696; -1.5137696; 0.0276730; 13.4734358; 0.1149565
437.2037085; 241.5408580; 113.5019932; -1.4647065; 0.0221499; 13.4904582; 0.1016574
439.2000724; 243.5247635; 113.7550331; -1.4245074; 0.0181587; 13.5054934; 0.0955305
441.1964364; 245.5015872; 114.0809729; -1.3912607; 0.0151441; 13.5196072; 0.0960737
443.1928003; 247.4609797; 114.4655264; -1.3635434; 0.0127118; 13.5337865; 0.1542795
445.1891643; 249.4184097; 114.9015359; -1.3405577; 0.0102302; 13.5565251; 0.2550406
447.1855283; 251.3637500; 115.3776648; -1.3205064; 0.0115981; 13.5940311; 0.3919774
449.1818922; 253.2845097; 115.8961496; -1.2918382; 0.0173791; 13.6514739; 0.5972278
451.1782562; 255.1874327; 116.4814023; -1.2507482; 0.0241984; 13.7385337; 0.7631689
453.1746202; 257.0723144; 117.1629451; -1.1941093; 0.0326830; 13.8489867; 0.8316544
455.1709841; 258.9030211; 117.9644877; -1.1186671; 0.0430761; 13.9683572; 0.8539495
