# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
223.5758929; 130.5366382; 174.0418145; 0.4911859; 0.0103362; 23.1188839; -6.0784651
225.5721063; 129.5829914; 175.7847705; 0.5093225; 0.0079609; 22.5879385; -5.9372463
227.5683196; 128.5871422; 177.5378686; 0.5231362; 0.0057763; 22.0569931; -5.2755477
229.5645329; 127.5882061; 179.2503838; 0.5321920; 0.0033840; 21.5742603; -5.1461981
231.5607463; 126.5679095; 180.9726739; 0.5366945; 0.0011385; 21.0927212; -4.5862355
233.5569596; 125.5437708; 182.6924947; 0.5367196; -0.0012057; 20.6541202; -4.0566946
235.5531729; 124.5267551; 184.4097675; 0.5318205; -0.0036995; 20.2582483; -3.9781887
237.5493862; 123.5203963; 186.1380734; 0.5219213; -0.0062065; 19.8623764; -2.9872455
239.5455996; 122.5342625; 187.8809508; 0.5070596; -0.0086558; 19.5598476; -2.9307201
241.5418129; 121.5819425; 189.6342514; 0.4872265; -0.0112576; 19.2584255; -2.6059933
243.5380262; 120.6662379; 191.4146066; 0.4620244; -0.0138131; 18.9863824; -2.2705381
245.5342396; 119.7995022; 193.2210710; 0.4318218; -0.0164000; 18.7461399; -2.2375681
247.5304529; 119.0023948; 195.0319866; 0.3964852; -0.0193751; 18.5063350; -2.0454447
249.5266662; 118.2585492; 196.9158906; 0.3547570; -0.0219336; 18.2843689; -2.0207635
251.5228796; 117.6127089; 198.7890148; 0.3082376; -0.0251551; 18.0624028; -2.0446943
253.5190929; 117.0526786; 200.7238312; 0.2542807; -0.0281968; 17.8349966; -2.0425808
255.5153062; 116.6078550; 202.6660538; 0.1948880; -0.0315788; 17.6048928; -2.0998606
257.5115195; 116.2861484; 204.6338416; 0.1279690; -0.0352850; 17.3651579; -2.1683572
259.5077329; 116.1032505; 206.6250961; 0.0541043; -0.0386255; 17.1140791; -2.2283765
261.5039462; 116.0741851; 208.6034153; -0.0260571; -0.0426588; 16.8521534; -2.3195681
263.5001595; 116.2131612; 210.5913379; -0.1145259; -0.0456187; 16.5751129; -2.3862077
265.4963729; 116.5257367; 212.5308158; -0.2059402; -0.0482147; 16.2851960; -2.4449730
267.4925862; 117.0266309; 214.4571893; -0.3027287; -0.0479269; 15.9826854; -2.5218436
269.4887995; 117.6985918; 216.3075213; -0.3919191; -0.0419566; 15.6645446; -2.5569107
271.4850129; 118.5342523; 218.1215204; -0.4694609; -0.0359198; 15.3352430; -2.6417619
273.4812262; 119.5046562; 219.8816017; -0.5366956; -0.0312126; 14.9874160; -2.7420138
